,team1,team2,winner,margin,ground,matchDate,match_id
0,Namibia,Sri Lanka,Namibia,55 runs,Geelong,2022-10-16,T20I # 1823
1,Netherlands,U.A.E.,Netherlands,3 wickets,Geelong,2022-10-16,T20I # 1825
2,Scotland,West Indies,Scotland,42 runs,Hobart,2022-10-17,T20I # 1826
3,Ireland,Zimbabwe,Zimbabwe,31 runs,Hobart,2022-10-17,T20I # 1828
4,Namibia,Netherlands,Netherlands,5 wickets,Geelong,2022-10-18,T20I # 1830
5,Sri Lanka,U.A.E.,Sri Lanka,79 runs,Geelong,2022-10-18,T20I # 1832
6,Ireland,Scotland,Ireland,6 wickets,Hobart,2022-10-19,T20I # 1833
7,West Indies,Zimbabwe,West Indies,31 runs,Hobart,2022-10-19,T20I # 1834
8,Netherlands,Sri Lanka,Sri Lanka,16 runs,Geelong,2022-10-20,T20I # 1835
9,Namibia,U.A.E.,U.A.E.,7 runs,Geelong,2022-10-20,T20I # 1836
10,Ireland,West Indies,Ireland,9 wickets,Hobart,2022-10-21,T20I # 1837
11,Scotland,Zimbabwe,Zimbabwe,5 wickets,Hobart,2022-10-21,T20I # 1838
12,Australia,New Zealand,New Zealand,89 runs,Sydney,2022-10-22,T20I # 1839
13,Afghanistan,England,England,5 wickets,Perth,2022-10-22,T20I # 1840
14,Ireland,Sri Lanka,Sri Lanka,9 wickets,Hobart,2022-10-23,T20I # 1841
15,India,Pakistan,India,4 wickets,Melbourne,2022-10-23,T20I # 1842
16,Bangladesh,Netherlands,Bangladesh,9 runs,Hobart,2022-10-24,T20I # 1843
17,South Africa,Zimbabwe,no result,5 wickets,Hobart,2022-10-24,T20I # 1844
18,Australia,Sri Lanka,Australia,7 wickets,Perth,2022-10-25,T20I # 1845
19,England,Ireland,Ireland,5 runs,Melbourne,2022-10-26,T20I # 1846
20,Afghanistan,New Zealand,abandoned,5 wickets,Melbourne,2022-10-26,T20I # 1846a
21,Bangladesh,South Africa,South Africa,104 runs,Sydney,2022-10-27,T20I # 1847
22,India,Netherlands,India,56 runs,Sydney,2022-10-27,T20I # 1848
23,Pakistan,Zimbabwe,Zimbabwe,1 run,Perth,2022-10-27,T20I # 1849
24,Afghanistan,Ireland,abandoned,5 wickets,Melbourne,2022-10-28,T20I # 1849a
25,Australia,England,abandoned,5 wickets,Melbourne,2022-10-28,T20I # 1849b
26,New Zealand,Sri Lanka,New Zealand,65 runs,Sydney,2022-10-29,T20I # 1850
27,Bangladesh,Zimbabwe,Bangladesh,3 runs,Brisbane,2022-10-30,T20I # 1851
28,Netherlands,Pakistan,Pakistan,6 wickets,Perth,2022-10-30,T20I # 1852
29,India,South Africa,South Africa,5 wickets,Perth,2022-10-30,T20I # 1853
30,Australia,Ireland,Australia,42 runs,Brisbane,2022-10-31,T20I # 1855
31,Afghanistan,Sri Lanka,Sri Lanka,6 wickets,Brisbane,2022-11-01,T20I # 1856
32,England,New Zealand,England,20 runs,Brisbane,2022-11-01,T20I # 1858
33,Netherlands,Zimbabwe,Netherlands,5 wickets,Adelaide,2022-11-02,T20I # 1859
34,Bangladesh,India,India,5 runs,Adelaide,2022-11-02,T20I # 1860
35,Pakistan,South Africa,Pakistan,33 runs,Sydney,2022-11-03,T20I # 1861
36,Ireland,New Zealand,New Zealand,35 runs,Adelaide,2022-11-04,T20I # 1862
37,Australia,Afghanistan,Australia,4 runs,Adelaide,2022-11-04,T20I # 1864
38,England,Sri Lanka,England,4 wickets,Sydney,2022-11-05,T20I # 1867
39,Netherlands,South Africa,Netherlands,13 runs,Adelaide,2022-11-06,T20I # 1871
40,Bangladesh,Pakistan,Pakistan,5 wickets,Adelaide,2022-11-06,T20I # 1872
41,India,Zimbabwe,India,71 runs,Melbourne,2022-11-06,T20I # 1873
42,New Zealand,Pakistan,Pakistan,7 wickets,Sydney,2022-11-09,T20I # 1877
43,England,India,England,10 wickets,Adelaide,2022-11-10,T20I # 1878
44,England,Pakistan,England,5 wickets,Melbourne,2022-11-13,T20I # 1879
